"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2011","Osnabrück","Million euro","15,666","e"
"2012","Osnabrück","Million euro","15,708","e"
"2013","Osnabrück","Million euro","16,289","e"
"2014","Osnabrück","Million euro","17,023","e"
"2015","Osnabrück","Million euro","17,702","e"
"2016","Osnabrück","Million euro","18,222","e"
"2017","Osnabrück","Million euro","19,007","e"
"2018","Osnabrück","Million euro",":",""
"2000","Oldenburg (Oldenburg)","Million euro","9,222","e"
"2001","Oldenburg (Oldenburg)","Million euro","9,554","e"
"2002","Oldenburg (Oldenburg)","Million euro","9,655","e"
"2003","Oldenburg (Oldenburg)","Million euro","9,332","e"
"2004","Oldenburg (Oldenburg)","Million euro","9,738","e"
"2005","Oldenburg (Oldenburg)","Million euro","9,699","e"
"2006","Oldenburg (Oldenburg)","Million euro","10,180","e"
"2007","Oldenburg (Oldenburg)","Million euro","10,805","e"
"2008","Oldenburg (Oldenburg)","Million euro","10,891","e"
"2009","Oldenburg (Oldenburg)","Million euro","11,112","e"
"2010","Oldenburg (Oldenburg)","Million euro","11,221","e"
"2011","Oldenburg (Oldenburg)","Million euro","11,760","e"
"2012","Oldenburg (Oldenburg)","Million euro","11,968","e"
"2013","Oldenburg (Oldenburg)","Million euro","12,198","e"
"2014","Oldenburg (Oldenburg)","Million euro","12,675","e"
"2015","Oldenburg (Oldenburg)","Million euro","13,037","e"
"2016","Oldenburg (Oldenburg)","Million euro","13,635","e"
"2017","Oldenburg (Oldenburg)","Million euro","14,371","e"
"2018","Oldenburg (Oldenburg)","Million euro",":",""
"2000","Heidelberg","Million euro","17,571","e"
"2001","Heidelberg","Million euro","18,583","e"
"2002","Heidelberg","Million euro","18,869","e"
"2003","Heidelberg","Million euro","18,457","e"
"2004","Heidelberg","Million euro","18,449","e"
"2005","Heidelberg","Million euro","18,993","e"
"2006","Heidelberg","Million euro","20,133","e"
"2007","Heidelberg","Million euro","21,097","e"
"2008","Heidelberg","Million euro","21,713","e"
"2009","Heidelberg","Million euro","21,462","e"
"2010","Heidelberg","Million euro","22,252","e"
"2011","Heidelberg","Million euro","23,181","e"
"2012","Heidelberg","Million euro","23,114","e"
"2013","Heidelberg","Million euro","23,743","e"
"2014","Heidelberg","Million euro","24,641","e"
"2015","Heidelberg","Million euro","25,179","e"
"2016","Heidelberg","Million euro","25,941","e"
"2017","Heidelberg","Million euro","26,943","e"
"2018","Heidelberg","Million euro",":",""
"2000","Paderborn","Million euro","6,826","e"
"2001","Paderborn","Million euro","6,857","e"
"2002","Paderborn","Million euro","6,956","e"
"2003","Paderborn","Million euro","6,882","e"
"2004","Paderborn","Million euro","7,229","e"
"2005","Paderborn","Million euro","7,383","e"
"2006","Paderborn","Million euro","7,827","e"
"2007","Paderborn","Million euro","8,606","e"
"2008","Paderborn","Million euro","8,789","e"
"2009","Paderborn","Million euro","8,366","e"
"2010","Paderborn","Million euro","8,525","e"
"2011","Paderborn","Million euro","8,812","e"
"2012","Paderborn","Million euro","9,183","e"
"2013","Paderborn","Million euro","9,434","e"
"2014","Paderborn","Million euro","10,032","e"
"2015","Paderborn","Million euro","10,072","e"
"2016","Paderborn","Million euro","10,575","e"
"2017","Paderborn","Million euro","10,860","e"
"2018","Paderborn","Million euro",":",""
"2000","Würzburg","Million euro","12,728","e"
"2001","Würzburg","Million euro","13,285","e"
"2002","Würzburg","Million euro","13,426","e"
"2003","Würzburg","Million euro","13,449","e"
"2004","Würzburg","Million euro","13,695","e"
"2005","Würzburg","Million euro","13,981","e"
"2006","Würzburg","Million euro","14,291","e"
"2007","Würzburg","Million euro","14,935","e"
"2008","Würzburg","Million euro","15,242","e"
"2009","Würzburg","Million euro","14,608","e"
"2010","Würzburg","Million euro","15,644","e"
"2011","Würzburg","Million euro","16,508","e"
"2012","Würzburg","Million euro","16,808","e"
"2013","Würzburg","Million euro","17,228","e"
"2014","Würzburg","Million euro","17,905","e"
"2015","Würzburg","Million euro","18,476","e"
"2016","Würzburg","Million euro","19,242","e"
"2017","Würzburg","Million euro","20,219","e"
"2018","Würzburg","Million euro",":",""
"2000","Bremerhaven","Million euro","5,906","e"
"2001","Bremerhaven","Million euro","6,000","e"
"2002","Bremerhaven","Million euro","5,980","e"
"2003","Bremerhaven","Million euro","6,241","e"
"2004","Bremerhaven","Million euro","6,250","e"
"2005","Bremerhaven","Million euro","6,428","e"
"2006","Bremerhaven","Million euro","6,709","e"
"2007","Bremerhaven","Million euro","6,895","e"
"2008","Bremerhaven","Million euro","6,738","e"
"2009","Bremerhaven","Million euro","6,437","e"
"2010","Bremerhaven","Million euro","6,647","e"
"2011","Bremerhaven","Million euro","6,547","e"
"2012","Bremerhaven","Million euro","7,045","e"
"2013","Bremerhaven","Million euro","7,618","e"
"2014","Bremerhaven","Million euro","8,014","e"
"2015","Bremerhaven","Million euro","8,105","e"
"2016","Bremerhaven","Million euro","8,176","e"
"2017","Bremerhaven","Million euro","8,558","e"
"2018","Bremerhaven","Million euro",":",""
"2000","Heilbronn","Million euro","13,814","e"
"2001","Heilbronn","Million euro","14,348","e"
"2002","Heilbronn","Million euro","14,070","e"
"2003","Heilbronn","Million euro","13,964","e"
"2004","Heilbronn","Million euro","14,232","e"
"2005","Heilbronn","Million euro","14,743","e"
"2006","Heilbronn","Million euro","16,141","e"
"2007","Heilbronn","Million euro","16,767","e"
"2008","Heilbronn","Million euro","17,266","e"
"2009","Heilbronn","Million euro","16,386","e"
"2010","Heilbronn","Million euro","17,423","e"
"2011","Heilbronn","Million euro","18,691","e"
"2012","Heilbronn","Million euro","19,842","e"
"2013","Heilbronn","Million euro","20,678","e"
"2014","Heilbronn","Million euro","21,339","e"
"2015","Heilbronn","Million euro","22,292","e"
"2016","Heilbronn","Million euro","22,151","e"
"2017","Heilbronn","Million euro","23,205","e"
"2018","Heilbronn","Million euro",":",""
"2000","Ulm","Million euro","13,352","e"
"2001","Ulm","Million euro","13,728","e"
"2002","Ulm","Million euro","13,549","e"
"2003","Ulm","Million euro","13,818","e"
"2004","Ulm","Million euro","14,321","e"
"2005","Ulm","Million euro","14,799","e"
"2006","Ulm","Million euro","15,611","e"
"2007","Ulm","Million euro","16,862","e"
"2008","Ulm","Million euro","17,148","e"
"2009","Ulm","Million euro","16,093","e"
"2010","Ulm","Million euro","17,180","e"
"2011","Ulm","Million euro","18,121","e"
"2012","Ulm","Million euro","18,060","e"
"2013","Ulm","Million euro","18,786","e"
"2014","Ulm","Million euro","19,277","e"
"2015","Ulm","Million euro","20,084","e"
"2016","Ulm","Million euro","21,120","e"
"2017","Ulm","Million euro","21,652","e"
"2018","Ulm","Million euro",":",""
"2000","Pforzheim","Million euro","7,386","e"
"2001","Pforzheim","Million euro","7,466","e"
"2002","Pforzheim","Million euro","7,499","e"
"2003","Pforzheim","Million euro","7,544","e"
"2004","Pforzheim","Million euro","7,828","e"
"2005","Pforzheim","Million euro","8,111","e"
"2006","Pforzheim","Million euro","8,416","e"
"2007","Pforzheim","Million euro","8,648","e"
"2008","Pforzheim","Million euro","8,685","e"
"2009","Pforzheim","Million euro","8,008","e"
"2010","Pforzheim","Million euro","8,848","e"
"2011","Pforzheim","Million euro","9,362","e"
"2012","Pforzheim","Million euro","9,693","e"
"2013","Pforzheim","Million euro","9,997","e"
"2014","Pforzheim","Million euro","10,172","e"
"2015","Pforzheim","Million euro","10,483","e"
"2016","Pforzheim","Million euro","10,639","e"
"2017","Pforzheim","Million euro","10,983","e"
"2018","Pforzheim","Million euro",":",""
"2000","Ingolstadt","Million euro","12,239","e"
"2001","Ingolstadt","Million euro","13,328","e"
"2002","Ingolstadt","Million euro","13,716","e"
"2003","Ingolstadt","Million euro","14,239","e"
"2004","Ingolstadt","Million euro","14,545","e"
"2005","Ingolstadt","Million euro","14,987","e"
"2006","Ingolstadt","Million euro","16,625","e"
"2007","Ingolstadt","Million euro","17,041","e"
"2008","Ingolstadt","Million euro","16,494","e"
"2009","Ingolstadt","Million euro","16,479","e"
"2010","Ingolstadt","Million euro","20,081","e"
"2011","Ingolstadt","Million euro","22,220","e"
"2012","Ingolstadt","Million euro","23,794","e"
"2013","Ingolstadt","Million euro","26,409","e"
"2014","Ingolstadt","Million euro","26,771","e"
"2015","Ingolstadt","Million euro","28,851","e"
"2016","Ingolstadt","Million euro","29,224","e"
"2017","Ingolstadt","Million euro","30,254","e"
"2018","Ingolstadt","Million euro",":",""
"2000","Reutlingen","Million euro","7,517","e"
"2001","Reutlingen","Million euro","7,738","e"
"2002","Reutlingen","Million euro","7,903","e"
"2003","Reutlingen","Million euro","7,834","e"
"2004","Reutlingen","Million euro","8,193","e"
"2005","Reutlingen","Million euro","7,868","e"
"2006","Reutlingen","Million euro","8,339","e"
"2007","Reutlingen","Million euro","8,713","e"
"2008","Reutlingen","Million euro","9,023","e"
"2009","Reutlingen","Million euro","8,120","e"
"2010","Reutlingen","Million euro","8,827","e"
"2011","Reutlingen","Million euro","9,251","e"
"2012","Reutlingen","Million euro","9,344","e"
"2013","Reutlingen","Million euro","9,887","e"
"2014","Reutlingen","Million euro","10,502","e"
"2015","Reutlingen","Million euro","10,719","e"
"2016","Reutlingen","Million euro","11,081","e"
"2017","Reutlingen","Million euro","11,294","e"
"2018","Reutlingen","Million euro",":",""
"2000","Siegen","Million euro","10,045","e"
"2001","Siegen","Million euro","10,160","e"
"2002","Siegen","Million euro","9,932","e"
"2003","Siegen","Million euro","10,191","e"
"2004","Siegen","Million euro","10,378","e"
"2005","Siegen","Million euro","10,669","e"
"2006","Siegen","Million euro","11,399","e"
"2007","Siegen","Million euro","11,990","e"
"2008","Siegen","Million euro","12,468","e"
"2009","Siegen","Million euro","11,526","e"
"2010","Siegen","Million euro","11,925","e"
"2011","Siegen","Million euro","12,733","e"
"2012","Siegen","Million euro","12,783","e"
"2013","Siegen","Million euro","12,864","e"
"2014","Siegen","Million euro","13,297","e"
"2015","Siegen","Million euro","13,783","e"
"2016","Siegen","Million euro","14,107","e"
"2017","Siegen","Million euro","14,487","e"
"2018","Siegen","Million euro",":",""
"2000","Hildesheim","Million euro","5,592","e"
"2001","Hildesheim","Million euro","5,612","e"
"2002","Hildesheim","Million euro","5,861","e"
"2003","Hildesheim","Million euro","6,025","e"
"2004","Hildesheim","Million euro","6,024","e"
"2005","Hildesheim","Million euro","6,006","e"
"2006","Hildesheim","Million euro","6,065","e"
"2007","Hildesheim","Million euro","6,157","e"
"2008","Hildesheim","Million euro","6,367","e"
"2009","Hildesheim","Million euro","6,078","e"
"2010","Hildesheim","Million euro","6,337","e"
"2011","Hildesheim","Million euro","6,707","e"
"2012","Hildesheim","Million euro","6,890","e"
"2013","Hildesheim","Million euro","6,807","e"
"2014","Hildesheim","Million euro","7,153","e"
"2015","Hildesheim","Million euro","7,315","e"
"2016","Hildesheim","Million euro","7,516","e"
"2017","Hildesheim","Million euro","7,737","e"
"2018","Hildesheim","Million euro",":",""
"2000","Zwickau","Million euro","6,422","e"
"2001","Zwickau","Million euro","6,726","e"
"2002","Zwickau","Million euro","6,687","e"
"2003","Zwickau","Million euro","6,754","e"
"2004","Zwickau","Million euro","6,924","e"
"2005","Zwickau","Million euro","6,771","e"
"2006","Zwickau","Million euro","6,955","e"
"2007","Zwickau","Million euro","7,424","e"
"2008","Zwickau","Million euro","7,407","e"
"2009","Zwickau","Million euro","7,187","e"
"2010","Zwickau","Million euro","7,566","e"
"2011","Zwickau","Million euro","8,012","e"
"2012","Zwickau","Million euro","8,110","e"
"2013","Zwickau","Million euro","8,173","e"
"2014","Zwickau","Million euro","8,843","e"
"2015","Zwickau","Million euro","9,261","e"
"2016","Zwickau","Million euro","9,565","e"
"2017","Zwickau","Million euro","9,903","e"
"2018","Zwickau","Million euro",":",""
"2000","Wuppertal","Million euro","10,151","e"
"2001","Wuppertal","Million euro","9,739","e"
"2002","Wuppertal","Million euro","9,750","e"
"2003","Wuppertal","Million euro","9,600","e"
"2004","Wuppertal","Million euro","9,949","e"
"2005","Wuppertal","Million euro","10,061","e"
"2006","Wuppertal","Million euro","10,177","e"
"2007","Wuppertal","Million euro","10,531","e"
"2008","Wuppertal","Million euro","10,673","e"
"2009","Wuppertal","Million euro","10,459","e"
"2010","Wuppertal","Million euro","10,568","e"
"2011","Wuppertal","Million euro","10,993","e"
"2012","Wuppertal","Million euro","11,017","e"
"2013","Wuppertal","Million euro","11,216","e"
"2014","Wuppertal","Million euro","11,949","e"
"2015","Wuppertal","Million euro","12,327","e"
"2016","Wuppertal","Million euro","12,883","e"
"2017","Wuppertal","Million euro","12,813","e"
"2018","Wuppertal","Million euro",":",""
"2000","Düren","Million euro","5,458","e"
"2001","Düren","Million euro","5,353","e"
"2002","Düren","Million euro","5,382","e"
"2003","Düren","Million euro","5,420","e"
"2004","Düren","Million euro","5,616","e"
"2005","Düren","Million euro","5,622","e"
"2006","Düren","Million euro","5,878","e"
"2007","Düren","Million euro","6,031","e"
"2008","Düren","Million euro","6,386","e"
"2009","Düren","Million euro","6,134","e"
"2010","Düren","Million euro","6,246","e"
"2011","Düren","Million euro","6,486","e"
"2012","Düren","Million euro","6,659","e"
"2013","Düren","Million euro","6,756","e"
"2014","Düren","Million euro","6,922","e"
"2015","Düren","Million euro","7,116","e"
"2016","Düren","Million euro","7,301","e"
"2017","Düren","Million euro","7,545","e"
"2018","Düren","Million euro",":",""
"2000","Bocholt","Million euro","7,968","e"
"2001","Bocholt","Million euro","8,100","e"
"2002","Bocholt","Million euro","8,029","e"
"2003","Bocholt","Million euro","8,085","e"
"2004","Bocholt","Million euro","8,374","e"
"2005","Bocholt","Million euro","8,584","e"
"2006","Bocholt","Million euro","8,990","e"
"2007","Bocholt","Million euro","9,510","e"
"2008","Bocholt","Million euro","9,980","e"
"2009","Bocholt","Million euro","9,681","e"
"2010","Bocholt","Million euro","10,310","e"
"2011","Bocholt","Million euro","10,922","e"
"2012","Bocholt","Million euro","11,174","e"
"2013","Bocholt","Million euro","11,452","e"
"2014","Bocholt","Million euro","11,977","e"
"2015","Bocholt","Million euro","12,503","e"
"2016","Bocholt","Million euro","12,923","e"
"2017","Bocholt","Million euro","13,399","e"
"2018","Bocholt","Million euro",":",""
"2000","Non-metropolitan regions in Germany","Million euro","557,625","e"
"2001","Non-metropolitan regions in Germany","Million euro","571,276","e"
"2002","Non-metropolitan regions in Germany","Million euro","578,098","e"
"2003","Non-metropolitan regions in Germany","Million euro","580,783","e"
"2004","Non-metropolitan regions in Germany","Million euro","595,700","e"
"2005","Non-metropolitan regions in Germany","Million euro","602,449","e"
"2006","Non-metropolitan regions in Germany","Million euro","629,145","e"
"2007","Non-metropolitan regions in Germany","Million euro","659,518","e"
"2008","Non-metropolitan regions in Germany","Million euro","675,227","e"
"2009","Non-metropolitan regions in Germany","Million euro","645,573","e"
"2010","Non-metropolitan regions in Germany","Million euro","684,707","e"
"2011","Non-metropolitan regions in Germany","Million euro","721,104","e"
"2012","Non-metropolitan regions in Germany","Million euro","735,921","e"
"2013","Non-metropolitan regions in Germany","Million euro","751,948","e"
"2014","Non-metropolitan regions in Germany","Million euro","784,655","e"
"2015","Non-metropolitan regions in Germany","Million euro","808,402","e"
"2016","Non-metropolitan regions in Germany","Million euro","835,548","e"
"2017","Non-metropolitan regions in Germany","Million euro","865,294","e"
"2018","Non-metropolitan regions in Germany","Million euro",":",""
"2000","Estonia","Million euro","6,179.77",""
"2001","Estonia","Million euro","6,992.22",""
"2002","Estonia","Million euro","7,827.34",""
"2003","Estonia","Million euro","8,747.64",""
"2004","Estonia","Million euro","9,776.24",""
"2005","Estonia","Million euro","11,336.46",""
"2006","Estonia","Million euro","13,560.52",""
"2007","Estonia","Million euro","16,398.74",""
"2008","Estonia","Million euro","16,638.29",""
"2009","Estonia","Million euro","14,211.81",""
"2010","Estonia","Million euro","14,863.09",""
"2011","Estonia","Million euro","16,829.2",""
"2012","Estonia","Million euro","18,050.74",""
"2013","Estonia","Million euro","19,033.39",""
"2014","Estonia","Million euro","20,179.99",""
"2015","Estonia","Million euro","20,782.22",""
"2016","Estonia","Million euro","21,693.64",""
"2017","Estonia","Million euro","23,775.82",""
"2018","Estonia","Million euro","26,035.85",""
"2000","Tallinn","Million euro","3,549.59",""
"2001","Tallinn","Million euro","4,052.78",""
"2002","Tallinn","Million euro","4,579.59",""
"2003","Tallinn","Million euro","5,164.61",""
"2004","Tallinn","Million euro","5,864.95",""
"2005","Tallinn","Million euro","6,733.56",""
"2006","Tallinn","Million euro","8,194.78",""
"2007","Tallinn","Million euro","9,719.68",""
"2008","Tallinn","Million euro","9,766.53",""
"2009","Tallinn","Million euro","8,665.16",""
"2010","Tallinn","Million euro","8,908.13",""
"2011","Tallinn","Million euro","10,366.25",""
"2012","Tallinn","Million euro","11,366.39",""
"2013","Tallinn","Million euro","12,056.79",""
"2014","Tallinn","Million euro","12,986.35",""
"2015","Tallinn","Million euro","13,474.61",""
"2016","Tallinn","Million euro","14,118.16",""
"2017","Tallinn","Million euro","15,456.68",""
"2018","Tallinn","Million euro","16,896.38",""
"2000","Non-metropolitan regions in Estonia","Million euro","2,630.3",""
"2001","Non-metropolitan regions in Estonia","Million euro","2,939.33",""
"2002","Non-metropolitan regions in Estonia","Million euro","3,247.86",""
"2003","Non-metropolitan regions in Estonia","Million euro","3,583.02",""
"2004","Non-metropolitan regions in Estonia","Million euro","3,911.29",""
"2005","Non-metropolitan regions in Estonia","Million euro","4,602.89",""
"2006","Non-metropolitan regions in Estonia","Million euro","5,365.75",""
"2007","Non-metropolitan regions in Estonia","Million euro","6,679.06",""
"2008","Non-metropolitan regions in Estonia","Million euro","6,871.64",""
"2009","Non-metropolitan regions in Estonia","Million euro","5,546.65",""
"2010","Non-metropolitan regions in Estonia","Million euro","5,954.96",""
"2011","Non-metropolitan regions in Estonia","Million euro","6,462.94",""
"2012","Non-metropolitan regions in Estonia","Million euro","6,684.35",""
"2013","Non-metropolitan regions in Estonia","Million euro","6,976.71",""
"2014","Non-metropolitan regions in Estonia","Million euro","7,193.63",""
"2015","Non-metropolitan regions in Estonia","Million euro","7,307.73",""
"2016","Non-metropolitan regions in Estonia","Million euro","7,575.48",""
"2017","Non-metropolitan regions in Estonia","Million euro","8,319.03",""
"2018","Non-metropolitan regions in Estonia","Million euro","9,139.47",""
"2000","Ireland","Million euro","108,380.4",""
"2001","Ireland","Million euro","121,958.6",""
"2002","Ireland","Million euro","135,959.2",""
"2003","Ireland","Million euro","145,555.8",""
"2004","Ireland","Million euro","156,143.8",""
"2005","Ireland","Million euro","170,187",""
"2006","Ireland","Million euro","184,993.7",""
"2007","Ireland","Million euro","197,202",""
"2008","Ireland","Million euro","187,769.1",""
"2009","Ireland","Million euro","170,100.5",""
"2010","Ireland","Million euro","167,732.3",""
"2011","Ireland","Million euro","170,827",""
"2012","Ireland","Million euro","175,115.7",""
"2013","Ireland","Million euro","179,661.3",""
"2014","Ireland","Million euro","194,818.2",""
"2015","Ireland","Million euro","262,833.4",""
"2016","Ireland","Million euro","271,683.6",""
"2017","Ireland","Million euro","297,130.8",""
"2018","Ireland","Million euro","324,038.2",""
"2000","Dublin","Million euro","55,946.93",""
"2001","Dublin","Million euro","61,102.87",""
"2002","Dublin","Million euro","66,683.47",""
"2003","Dublin","Million euro","71,269.31",""
"2004","Dublin","Million euro","78,849.35",""
"2005","Dublin","Million euro","88,444.13",""
"2006","Dublin","Million euro","94,745.84",""
"2007","Dublin","Million euro","101,333.45",""
"2008","Dublin","Million euro","98,091.26",""
"2009","Dublin","Million euro","89,159.88",""
"2010","Dublin","Million euro","88,196.22",""
"2011","Dublin","Million euro","86,097.23",""
"2012","Dublin","Million euro","89,040.77",""
"2013","Dublin","Million euro","96,566.67",""
"2014","Dublin","Million euro","107,361.23",""
"2015","Dublin","Million euro","120,483.09",""
"2016","Dublin","Million euro","136,369.93",""
"2017","Dublin","Million euro","147,476.87",""
"2018","Dublin","Million euro",":",""
"2000","Cork","Million euro","17,664.21",""
"2001","Cork","Million euro","21,284.9",""
"2002","Cork","Million euro","27,555.55",""
"2003","Cork","Million euro","26,833.57",""
"2004","Cork","Million euro","26,236.06",""
"2005","Cork","Million euro","28,434.2",""
"2006","Cork","Million euro","30,901.23",""
"2007","Cork","Million euro","33,523.68",""
"2008","Cork","Million euro","30,702.54",""
"2009","Cork","Million euro","29,679.98",""
"2010","Cork","Million euro","28,839.23",""
"2011","Cork","Million euro","31,988.89",""
"2012","Cork","Million euro","32,686.74",""
"2013","Cork","Million euro","30,677.8",""
"2014","Cork","Million euro","34,688.9",""
"2015","Cork","Million euro",":",""
"2016","Cork","Million euro",":",""
"2017","Cork","Million euro",":",""
"2018","Cork","Million euro",":",""
"2000","Non-metropolitan regions in Ireland","Million euro","34,769.29",""
"2001","Non-metropolitan regions in Ireland","Million euro","39,570.78",""
"2002","Non-metropolitan regions in Ireland","Million euro","41,720.23",""
"2003","Non-metropolitan regions in Ireland","Million euro","47,452.88",""
"2004","Non-metropolitan regions in Ireland","Million euro","51,058.35",""
"2005","Non-metropolitan regions in Ireland","Million euro","53,308.61",""
"2006","Non-metropolitan regions in Ireland","Million euro","59,346.64",""
"2007","Non-metropolitan regions in Ireland","Million euro","62,344.9",""
"2008","Non-metropolitan regions in Ireland","Million euro","58,975.29",""
"2009","Non-metropolitan regions in Ireland","Million euro","51,260.6",""
"2010","Non-metropolitan regions in Ireland","Million euro","50,696.86",""
"2011","Non-metropolitan regions in Ireland","Million euro","52,740.92",""
"2012","Non-metropolitan regions in Ireland","Million euro","53,388.19",""
"2013","Non-metropolitan regions in Ireland","Million euro","52,416.76",""
"2014","Non-metropolitan regions in Ireland","Million euro","52,768.03",""
"2015","Non-metropolitan regions in Ireland","Million euro",":",""
"2016","Non-metropolitan regions in Ireland","Million euro",":",""
"2017","Non-metropolitan regions in Ireland","Million euro",":",""
"2018","Non-metropolitan regions in Ireland","Million euro",":",""
"2000","Greece","Million euro","142,976.02",""
"2001","Greece","Million euro","152,193.8","d"
"2002","Greece","Million euro","163,460.8",""
"2003","Greece","Million euro","178,904.9",""
"2004","Greece","Million euro","193,715.8",""
"2005","Greece","Million euro","199,242.3",""
"2006","Greece","Million euro","217,861.6",""
"2007","Greece","Million euro","232,694.6",""
"2008","Greece","Million euro","241,990.4",""
"2009","Greece","Million euro","237,534.2",""
"2010","Greece","Million euro","226,031.4",""
"2011","Greece","Million euro","207,028.9",""
"2012","Greece","Million euro","191,203.9",""
"2013","Greece","Million euro","180,654.3",""
"2014","Greece","Million euro","178,656.5",""
"2015","Greece","Million euro","177,258.4","p"
"2016","Greece","Million euro","176,487.9","p"
"2017","Greece","Million euro","180,217.6","p"
"2018","Greece","Million euro","184,713.6","p"
"2000","Athina","Million euro","61,894.22",""
"2001","Athina","Million euro","65,679","d"
"2002","Athina","Million euro","71,587.24",""
"2003","Athina","Million euro","77,984.57",""
"2004","Athina","Million euro","85,855.78",""
"2005","Athina","Million euro","89,452.86",""
"2006","Athina","Million euro","98,263.37",""
"2007","Athina","Million euro","105,868.73",""
"2008","Athina","Million euro","110,541.87",""
"2009","Athina","Million euro","109,999",""
"2010","Athina","Million euro","105,051.19",""
"2011","Athina","Million euro","95,562.15",""
"2012","Athina","Million euro","88,218.36",""
"2013","Athina","Million euro","83,373.43",""
"2014","Athina","Million euro","81,837.4",""
"2015","Athina","Million euro","80,293","p"
"2016","Athina","Million euro","79,807","p"
"2017","Athina","Million euro","81,407","p"
"2018","Athina","Million euro",":",""
"2000","Thessaloniki","Million euro","12,783.58",""
"2001","Thessaloniki","Million euro","13,737","d"
"2002","Thessaloniki","Million euro","14,574.01",""
"2003","Thessaloniki","Million euro","15,984.47",""
"2004","Thessaloniki","Million euro","17,442.8",""
"2005","Thessaloniki","Million euro","17,431.05",""
"2006","Thessaloniki","Million euro","19,594.72",""
"2007","Thessaloniki","Million euro","20,967.89",""
"2008","Thessaloniki","Million euro","22,010.38",""
"2009","Thessaloniki","Million euro","21,520.33",""
"2010","Thessaloniki","Million euro","19,936.23",""
"2011","Thessaloniki","Million euro","18,321.14",""
"2012","Thessaloniki","Million euro","16,629.28",""
"2013","Thessaloniki","Million euro","15,492.13",""
"2014","Thessaloniki","Million euro","15,118.94",""
"2015","Thessaloniki","Million euro","15,353","p"
"2016","Thessaloniki","Million euro","15,552","p"
"2017","Thessaloniki","Million euro","15,992","p"
"2018","Thessaloniki","Million euro",":",""
"2000","Non-metropolitan regions in Greece","Million euro","68,298.24",""
"2001","Non-metropolitan regions in Greece","Million euro","72,778","d"
"2002","Non-metropolitan regions in Greece","Million euro","77,299.55",""
"2003","Non-metropolitan regions in Greece","Million euro","84,935.86",""
"2004","Non-metropolitan regions in Greece","Million euro","90,417.22",""
"2005","Non-metropolitan regions in Greece","Million euro","92,358.4",""
"2006","Non-metropolitan regions in Greece","Million euro","100,003.53",""
"2007","Non-metropolitan regions in Greece","Million euro","105,857.98",""
"2008","Non-metropolitan regions in Greece","Million euro","109,438.12",""
"2009","Non-metropolitan regions in Greece","Million euro","106,014.9",""
"2010","Non-metropolitan regions in Greece","Million euro","101,043.99",""
"2011","Non-metropolitan regions in Greece","Million euro","93,145.59",""
"2012","Non-metropolitan regions in Greece","Million euro","86,356.22",""
"2013","Non-metropolitan regions in Greece","Million euro","81,788.76",""
"2014","Non-metropolitan regions in Greece","Million euro","81,700.17",""
"2015","Non-metropolitan regions in Greece","Million euro","81,612","p"
"2016","Non-metropolitan regions in Greece","Million euro","81,129","p"
"2017","Non-metropolitan regions in Greece","Million euro","82,819","p"
"2018","Non-metropolitan regions in Greece","Million euro",":",""
"2000","Spain","Million euro","647,851",""
"2001","Spain","Million euro","700,993",""
"2002","Spain","Million euro","749,552",""
"2003","Spain","Million euro","802,266",""
"2004","Spain","Million euro","859,437",""
"2005","Spain","Million euro","927,357",""
"2006","Spain","Million euro","1,003,823",""
"2007","Spain","Million euro","1,075,539",""
"2008","Spain","Million euro","1,109,541",""
"2009","Spain","Million euro","1,069,323",""
"2010","Spain","Million euro","1,072,709",""
"2011","Spain","Million euro","1,063,763",""
"2012","Spain","Million euro","1,031,099",""
"2013","Spain","Million euro","1,020,348",""
"2014","Spain","Million euro","1,032,158",""
"2015","Spain","Million euro","1,077,590",""
"2016","Spain","Million euro","1,113,840",""
"2017","Spain","Million euro","1,161,878",""
"2018","Spain","Million euro","1,202,193","p"
"2000","Madrid","Million euro","114,454.95",""
"2001","Madrid","Million euro","124,576.47",""
"2002","Madrid","Million euro","133,608.71",""
"2003","Madrid","Million euro","143,012.13",""
"2004","Madrid","Million euro","153,557.33",""
"2005","Madrid","Million euro","165,760.06",""
"2006","Madrid","Million euro","180,859.36",""
"2007","Madrid","Million euro","193,749.34",""
"2008","Madrid","Million euro","201,235.55",""
"2009","Madrid","Million euro","198,374.41",""
"2010","Madrid","Million euro","197,145.58",""
"2011","Madrid","Million euro","198,465.3",""
"2012","Madrid","Million euro","195,026.81",""
"2013","Madrid","Million euro","192,620.16",""
"2014","Madrid","Million euro","194,960.19",""
"2015","Madrid","Million euro","204,244.52",""
"2016","Madrid","Million euro","211,672.67",""
"2017","Madrid","Million euro","221,432.65",""
"2018","Madrid","Million euro",":",""
"2000","Barcelona","Million euro","92,487.29",""
"2001","Barcelona","Million euro","99,664.67",""
"2002","Barcelona","Million euro","105,265.49",""
"2003","Barcelona","Million euro","112,528.07",""
"2004","Barcelona","Million euro","119,990.87",""
"2005","Barcelona","Million euro","130,121.42",""
"2006","Barcelona","Million euro","140,135.84",""
"2007","Barcelona","Million euro","149,957.42",""
"2008","Barcelona","Million euro","153,612.67",""
"2009","Barcelona","Million euro","147,574.46",""
"2010","Barcelona","Million euro","148,412.86",""
"2011","Barcelona","Million euro","146,383.68",""
"2012","Barcelona","Million euro","142,182.41",""
