"TIME","METROREG","UNIT","Value","Flag and Footnotes"
"2016","Non-metropolitan regions in Belgium","Million euro","188,622.81",""
"2017","Non-metropolitan regions in Belgium","Million euro","196,466.2",""
"2018","Non-metropolitan regions in Belgium","Million euro","202,945.29",""
"2000","Bulgaria","Million euro","14,406.76",""
"2001","Bulgaria","Million euro","15,905.29",""
"2002","Bulgaria","Million euro","17,478.3",""
"2003","Bulgaria","Million euro","18,798.31",""
"2004","Bulgaria","Million euro","21,093.18",""
"2005","Bulgaria","Million euro","24,039.9",""
"2006","Bulgaria","Million euro","27,409.98",""
"2007","Bulgaria","Million euro","32,444.47",""
"2008","Bulgaria","Million euro","37,217.68",""
"2009","Bulgaria","Million euro","37,400.17",""
"2010","Bulgaria","Million euro","38,044.13",""
"2011","Bulgaria","Million euro","41,252.64",""
"2012","Bulgaria","Million euro","42,033.45",""
"2013","Bulgaria","Million euro","41,885.36",""
"2014","Bulgaria","Million euro","42,876.15",""
"2015","Bulgaria","Million euro","45,675.84",""
"2016","Bulgaria","Million euro","48,620.5",""
"2017","Bulgaria","Million euro","52,310",""
"2018","Bulgaria","Million euro","56,086.92","p"
"2000","Sofia","Million euro","4,344.92",""
"2001","Sofia","Million euro","5,084.92",""
"2002","Sofia","Million euro","5,906.14",""
"2003","Sofia","Million euro","6,394.5",""
"2004","Sofia","Million euro","7,370.89",""
"2005","Sofia","Million euro","8,614.34",""
"2006","Sofia","Million euro","10,632.65",""
"2007","Sofia","Million euro","13,353.15",""
"2008","Sofia","Million euro","15,668.5",""
"2009","Sofia","Million euro","16,082.16",""
"2010","Sofia","Million euro","16,808.03",""
"2011","Sofia","Million euro","18,288.33",""
"2012","Sofia","Million euro","18,318.09",""
"2013","Sofia","Million euro","18,224.64",""
"2014","Sofia","Million euro","18,582.78",""
"2015","Sofia","Million euro","20,248.57",""
"2016","Sofia","Million euro","21,549.08",""
"2017","Sofia","Million euro","23,236.58",""
"2018","Sofia","Million euro",":",""
"2000","Plovdiv","Million euro","1,061.7",""
"2001","Plovdiv","Million euro","1,201.54",""
"2002","Plovdiv","Million euro","1,275.22",""
"2003","Plovdiv","Million euro","1,418.2",""
"2004","Plovdiv","Million euro","1,616.06",""
"2005","Plovdiv","Million euro","1,875.88",""
"2006","Plovdiv","Million euro","2,058.74",""
"2007","Plovdiv","Million euro","2,364.99",""
"2008","Plovdiv","Million euro","2,575.24",""
"2009","Plovdiv","Million euro","2,816.17",""
"2010","Plovdiv","Million euro","2,826.62",""
"2011","Plovdiv","Million euro","3,099.33",""
"2012","Plovdiv","Million euro","3,171.24",""
"2013","Plovdiv","Million euro","3,237.85",""
"2014","Plovdiv","Million euro","3,184.92",""
"2015","Plovdiv","Million euro","3,513.01",""
"2016","Plovdiv","Million euro","3,871.12",""
"2017","Plovdiv","Million euro","4,165.95",""
"2018","Plovdiv","Million euro",":",""
"2000","Varna","Million euro","900.68",""
"2001","Varna","Million euro","995.78",""
"2002","Varna","Million euro","1,088.31",""
"2003","Varna","Million euro","1,176.39",""
"2004","Varna","Million euro","1,345.58",""
"2005","Varna","Million euro","1,518.78",""
"2006","Varna","Million euro","1,835.79",""
"2007","Varna","Million euro","2,192.04",""
"2008","Varna","Million euro","2,544.73",""
"2009","Varna","Million euro","2,473.44",""
"2010","Varna","Million euro","2,381.15",""
"2011","Varna","Million euro","2,681.67",""
"2012","Varna","Million euro","2,784.03",""
"2013","Varna","Million euro","2,728.64",""
"2014","Varna","Million euro","2,941.36",""
