"TIME","METROREG","AGE","SEX","Value","Flag and Footnotes"
"1999","Belgium","Total","Total","10,213,752",""
"2000","Belgium","Total","Total","10,239,085",""
"2001","Belgium","Total","Total","10,263,414",""
"2002","Belgium","Total","Total","10,309,725",""
"2003","Belgium","Total","Total","10,355,844",""
"2004","Belgium","Total","Total","10,396,421",""
"2005","Belgium","Total","Total","10,445,852",""
"2006","Belgium","Total","Total","10,511,382",""
"2007","Belgium","Total","Total","10,584,534",""
"2008","Belgium","Total","Total","10,666,866",""
"2009","Belgium","Total","Total","10,753,080",""
"2010","Belgium","Total","Total","10,839,905",""
"2011","Belgium","Total","Total","11,000,638","b"
"2012","Belgium","Total","Total","11,075,889","b"
"2013","Belgium","Total","Total","11,137,974",""
"2014","Belgium","Total","Total","11,180,840","b"
"2015","Belgium","Total","Total","11,237,274",""
"2016","Belgium","Total","Total","11,311,117",""
"2017","Belgium","Total","Total","11,351,727",""
"2018","Belgium","Total","Total","11,398,589",""
"2019","Belgium","Total","Total","11,455,519",""
"1999","Bruxelles / Brussel","Total","Total",":",""
"2000","Bruxelles / Brussel","Total","Total","2,129,716",""
"2001","Bruxelles / Brussel","Total","Total","2,138,898",""
"2002","Bruxelles / Brussel","Total","Total","2,159,154",""
"2003","Bruxelles / Brussel","Total","Total","2,178,354",""
"2004","Bruxelles / Brussel","Total","Total","2,192,352",""
"2005","Bruxelles / Brussel","Total","Total","2,207,136",""
"2006","Bruxelles / Brussel","Total","Total","2,226,958",""
"2007","Bruxelles / Brussel","Total","Total","2,249,356",""
"2008","Bruxelles / Brussel","Total","Total","2,275,888",""
"2009","Bruxelles / Brussel","Total","Total","2,304,386",""
"2010","Bruxelles / Brussel","Total","Total","2,336,052",""
"2011","Bruxelles / Brussel","Total","Total","2,397,749","b"
"2012","Bruxelles / Brussel","Total","Total","2,422,109","b"
"2013","Bruxelles / Brussel","Total","Total","2,445,115",""
"2014","Bruxelles / Brussel","Total","Total","2,460,238","b"
"2015","Bruxelles / Brussel","Total","Total","2,480,484",""
"2016","Bruxelles / Brussel","Total","Total","2,507,610",""
"2017","Bruxelles / Brussel","Total","Total","2,513,849",""
"2018","Bruxelles / Brussel","Total","Total","2,528,996",""
"2019","Bruxelles / Brussel","Total","Total","2,548,941",""
"1999","Antwerpen","Total","Total",":",""
"2000","Antwerpen","Total","Total","932,103",""
"2001","Antwerpen","Total","Total","931,567",""
"2002","Antwerpen","Total","Total","935,381",""
"2003","Antwerpen","Total","Total","940,681",""
"2004","Antwerpen","Total","Total","944,921",""
"2005","Antwerpen","Total","Total","948,858",""
"2006","Antwerpen","Total","Total","954,680",""
"2007","Antwerpen","Total","Total","961,131",""
"2008","Antwerpen","Total","Total","969,563",""
"2009","Antwerpen","Total","Total","977,612",""
"2010","Antwerpen","Total","Total","985,332",""
"2011","Antwerpen","Total","Total","1,005,002","b"
"2012","Antwerpen","Total","Total","1,014,016","b"
"2013","Antwerpen","Total","Total","1,020,901",""
"2014","Antwerpen","Total","Total","1,024,987","b"
"2015","Antwerpen","Total","Total","1,030,055",""
"2016","Antwerpen","Total","Total","1,036,031",""
"2017","Antwerpen","Total","Total","1,041,811",""
"2018","Antwerpen","Total","Total","1,047,030",""
"2019","Antwerpen","Total","Total","1,053,033",""
"1999","Gent","Total","Total",":",""
"2000","Gent","Total","Total","574,852",""
"2001","Gent","Total","Total","576,036",""
"2002","Gent","Total","Total","577,988",""
"2003","Gent","Total","Total","580,168",""
"2004","Gent","Total","Total","581,956",""
"2005","Gent","Total","Total","584,938",""
"2006","Gent","Total","Total","589,258",""
"2007","Gent","Total","Total","592,954",""
"2008","Gent","Total","Total","597,473",""
"2009","Gent","Total","Total","603,218",""
"2010","Gent","Total","Total","609,169",""
"2011","Gent","Total","Total","617,160","b"
"2012","Gent","Total","Total","619,928","b"
"2013","Gent","Total","Total","622,037",""
"2014","Gent","Total","Total","625,402","b"
"2015","Gent","Total","Total","629,182",""
"2016","Gent","Total","Total","634,725",""
"2017","Gent","Total","Total","638,941",""
"2018","Gent","Total","Total","641,782",""
"2019","Gent","Total","Total","646,068",""
"1999","Charleroi","Total","Total",":",""
"2000","Charleroi","Total","Total","421,059",""
"2001","Charleroi","Total","Total","420,214",""
"2002","Charleroi","Total","Total","420,590",""
"2003","Charleroi","Total","Total","420,653",""
"2004","Charleroi","Total","Total","420,528",""
"2005","Charleroi","Total","Total","421,394",""
"2006","Charleroi","Total","Total","421,801",""
"2007","Charleroi","Total","Total","422,598",""
"2008","Charleroi","Total","Total","423,204",""
"2009","Charleroi","Total","Total","424,289",""
"2010","Charleroi","Total","Total","425,110",""
"2011","Charleroi","Total","Total","428,231","b"
"2012","Charleroi","Total","Total","429,720","b"
"2013","Charleroi","Total","Total","430,815",""
"2014","Charleroi","Total","Total","430,402","b"
"2015","Charleroi","Total","Total","430,899",""
"2016","Charleroi","Total","Total","431,693",""
"2017","Charleroi","Total","Total","431,043",""
"2018","Charleroi","Total","Total","431,398",""
"2019","Charleroi","Total","Total","431,879",""
"1999","Liège","Total","Total",":",""
"2000","Liège","Total","Total","653,876",""
"2001","Liège","Total","Total","653,165",""
"2002","Liège","Total","Total","655,106",""
"2003","Liège","Total","Total","655,203",""
"2004","Liège","Total","Total","657,530",""
"2005","Liège","Total","Total","659,637",""
"2006","Liège","Total","Total","663,239",""
"2007","Liège","Total","Total","667,685",""
"2008","Liège","Total","Total","671,383",""
"2009","Liège","Total","Total","675,100",""
"2010","Liège","Total","Total","679,650",""
"2011","Liège","Total","Total","689,047","b"
"2012","Liège","Total","Total","692,988","b"
"2013","Liège","Total","Total","697,056",""
"2014","Liège","Total","Total","698,644","b"
"2015","Liège","Total","Total","700,719",""
"2016","Liège","Total","Total","703,456",""
"2017","Liège","Total","Total","705,461",""
"2018","Liège","Total","Total","707,191",""
"2019","Liège","Total","Total","708,125",""
"1999","Non-metropolitan regions in Belgium","Total","Total",":",""
"2000","Non-metropolitan regions in Belgium","Total","Total",":",""
"2001","Non-metropolitan regions in Belgium","Total","Total",":",""
"2002","Non-metropolitan regions in Belgium","Total","Total",":",""
"2003","Non-metropolitan regions in Belgium","Total","Total",":",""
"2004","Non-metropolitan regions in Belgium","Total","Total","5,599,134",""
"2005","Non-metropolitan regions in Belgium","Total","Total","5,623,889",""
"2006","Non-metropolitan regions in Belgium","Total","Total","5,655,446",""
"2007","Non-metropolitan regions in Belgium","Total","Total","5,690,810",""
"2008","Non-metropolitan regions in Belgium","Total","Total","5,729,355",""
"2009","Non-metropolitan regions in Belgium","Total","Total","5,768,475",""
"2010","Non-metropolitan regions in Belgium","Total","Total","5,804,592",""
"2011","Non-metropolitan regions in Belgium","Total","Total","5,863,449","b"
"2012","Non-metropolitan regions in Belgium","Total","Total","5,897,128","b"
"2013","Non-metropolitan regions in Belgium","Total","Total","5,922,050",""
"2014","Non-metropolitan regions in Belgium","Total","Total","5,941,167","b"
"2015","Non-metropolitan regions in Belgium","Total","Total","5,965,935",""
"2016","Non-metropolitan regions in Belgium","Total","Total","5,997,602",""
"2017","Non-metropolitan regions in Belgium","Total","Total","6,020,622",""
"2018","Non-metropolitan regions in Belgium","Total","Total","6,042,192",""
"2019","Non-metropolitan regions in Belgium","Total","Total","6,067,473",""
"1999","Bulgaria","Total","Total","8,230,371",""
"2000","Bulgaria","Total","Total","8,190,876",""
"2001","Bulgaria","Total","Total","8,149,468",""
"2002","Bulgaria","Total","Total","7,868,815",""
"2003","Bulgaria","Total","Total","7,805,506",""
"2004","Bulgaria","Total","Total","7,745,147",""
"2005","Bulgaria","Total","Total","7,688,573",""
"2006","Bulgaria","Total","Total","7,629,371",""
"2007","Bulgaria","Total","Total","7,572,673",""
"2008","Bulgaria","Total","Total","7,518,002",""
"2009","Bulgaria","Total","Total","7,467,119",""
"2010","Bulgaria","Total","Total","7,421,766",""
"2011","Bulgaria","Total","Total","7,369,431",""
"2012","Bulgaria","Total","Total","7,327,224",""
"2013","Bulgaria","Total","Total","7,284,552",""
"2014","Bulgaria","Total","Total","7,245,677",""
"2015","Bulgaria","Total","Total","7,202,198",""
"2016","Bulgaria","Total","Total","7,153,784",""
"2017","Bulgaria","Total","Total","7,101,859",""
"2018","Bulgaria","Total","Total","7,050,034",""
"2019","Bulgaria","Total","Total","7,000,039",""
"1999","Sofia","Total","Total",":",""
"2000","Sofia","Total","Total","1,627,003",""
"2001","Sofia","Total","Total","1,630,219",""
"2002","Sofia","Total","Total","1,608,514",""
"2003","Sofia","Total","Total","1,619,797",""
"2004","Sofia","Total","Total","1,629,662",""
"2005","Sofia","Total","Total","1,637,554",""
"2006","Sofia","Total","Total","1,644,367",""
"2007","Sofia","Total","Total","1,650,277",""
"2008","Sofia","Total","Total","1,655,619",""
"2009","Sofia","Total","Total","1,661,603",""
"2010","Sofia","Total","Total","1,667,989",""
"2011","Sofia","Total","Total","1,673,116",""
"2012","Sofia","Total","Total","1,674,218",""
"2013","Sofia","Total","Total","1,675,810",""
"2014","Sofia","Total","Total","1,679,207",""
"2015","Sofia","Total","Total","1,681,666",""
"2016","Sofia","Total","Total","1,682,340",""
"2017","Sofia","Total","Total","1,681,592",""
"2018","Sofia","Total","Total","1,679,413",""
"2019","Sofia","Total","Total","1,678,041",""
"1999","Plovdiv","Total","Total",":",""
"2000","Plovdiv","Total","Total","729,447",""
"2001","Plovdiv","Total","Total","728,246",""
"2002","Plovdiv","Total","Total","711,933",""
"2003","Plovdiv","Total","Total","707,748",""
"2004","Plovdiv","Total","Total","703,830",""
"2005","Plovdiv","Total","Total","700,627",""
"2006","Plovdiv","Total","Total","697,194",""
"2007","Plovdiv","Total","Total","693,734",""
"2008","Plovdiv","Total","Total","690,683",""
"2009","Plovdiv","Total","Total","687,879",""
"2010","Plovdiv","Total","Total","685,860",""
"2011","Plovdiv","Total","Total","683,298",""
"2012","Plovdiv","Total","Total","680,884",""
"2013","Plovdiv","Total","Total","678,860",""
"2014","Plovdiv","Total","Total","678,197",""
"2015","Plovdiv","Total","Total","675,586",""
"2016","Plovdiv","Total","Total","673,283",""
"2017","Plovdiv","Total","Total","671,573",""
"2018","Plovdiv","Total","Total","669,796",""
"2019","Plovdiv","Total","Total","668,334",""
"1999","Varna","Total","Total",":",""
"2000","Varna","Total","Total","440,563",""
"2001","Varna","Total","Total","435,524",""
"2002","Varna","Total","Total","463,883",""
"2003","Varna","Total","Total","465,035",""
"2004","Varna","Total","Total","466,366",""
"2005","Varna","Total","Total","467,632",""
"2006","Varna","Total","Total","468,834",""
"2007","Varna","Total","Total","470,123",""
"2008","Varna","Total","Total","471,315",""
"2009","Varna","Total","Total","472,503",""
"2010","Varna","Total","Total","474,004",""
"2011","Varna","Total","Total","474,776",""
"2012","Varna","Total","Total","474,344",""
"2013","Varna","Total","Total","473,415",""
"2014","Varna","Total","Total","474,076",""
"2015","Varna","Total","Total","473,804",""
"2016","Varna","Total","Total","472,926",""
"2017","Varna","Total","Total","472,654",""
"2018","Varna","Total","Total","472,120",""
"2019","Varna","Total","Total","471,252",""
"1999","Burgas","Total","Total",":",""
"2000","Burgas","Total","Total","427,152",""
"2001","Burgas","Total","Total","425,366",""
"2002","Burgas","Total","Total","422,575",""
"2003","Burgas","Total","Total","421,288",""
"2004","Burgas","Total","Total","420,360",""
"2005","Burgas","Total","Total","419,631",""
"2006","Burgas","Total","Total","418,884",""
"2007","Burgas","Total","Total","418,229",""
"2008","Burgas","Total","Total","417,668",""
"2009","Burgas","Total","Total","417,082",""
"2010","Burgas","Total","Total","416,880",""
"2011","Burgas","Total","Total","415,909",""
"2012","Burgas","Total","Total","414,947",""
"2013","Burgas","Total","Total","414,154",""
"2014","Burgas","Total","Total","414,485",""
"2015","Burgas","Total","Total","414,184",""
"2016","Burgas","Total","Total","413,884",""
"2017","Burgas","Total","Total","412,684",""
"2018","Burgas","Total","Total","411,579",""
"2019","Burgas","Total","Total","410,331",""
"1999","Non-metropolitan regions in Bulgaria","Total","Total",":",""
"2000","Non-metropolitan regions in Bulgaria","Total","Total","4,966,711",""
"2001","Non-metropolitan regions in Bulgaria","Total","Total","4,930,113",""
"2002","Non-metropolitan regions in Bulgaria","Total","Total","4,661,910",""
"2003","Non-metropolitan regions in Bulgaria","Total","Total","4,591,638",""
"2004","Non-metropolitan regions in Bulgaria","Total","Total","4,524,929",""
"2005","Non-metropolitan regions in Bulgaria","Total","Total","4,463,129",""
"2006","Non-metropolitan regions in Bulgaria","Total","Total","4,400,092",""
"2007","Non-metropolitan regions in Bulgaria","Total","Total","4,340,310",""
"2008","Non-metropolitan regions in Bulgaria","Total","Total","4,282,717",""
"2009","Non-metropolitan regions in Bulgaria","Total","Total","4,228,052",""
"2010","Non-metropolitan regions in Bulgaria","Total","Total","4,177,033",""
"2011","Non-metropolitan regions in Bulgaria","Total","Total","4,122,332",""
"2012","Non-metropolitan regions in Bulgaria","Total","Total","4,082,831",""
"2013","Non-metropolitan regions in Bulgaria","Total","Total","4,042,313",""
"2014","Non-metropolitan regions in Bulgaria","Total","Total","3,999,712",""
"2015","Non-metropolitan regions in Bulgaria","Total","Total","3,956,958",""
"2016","Non-metropolitan regions in Bulgaria","Total","Total","3,911,351",""
"2017","Non-metropolitan regions in Bulgaria","Total","Total","3,863,356",""
"2018","Non-metropolitan regions in Bulgaria","Total","Total","3,817,126",""
"2019","Non-metropolitan regions in Bulgaria","Total","Total","3,772,081",""
"1999","Czechia","Total","Total","10,289,621",""
"2000","Czechia","Total","Total","10,278,098",""
"2001","Czechia","Total","Total","10,232,027",""
"2002","Czechia","Total","Total","10,201,182",""
"2003","Czechia","Total","Total","10,192,649",""
"2004","Czechia","Total","Total","10,195,347",""
"2005","Czechia","Total","Total","10,198,855",""
"2006","Czechia","Total","Total","10,223,577",""
"2007","Czechia","Total","Total","10,254,233",""
"2008","Czechia","Total","Total","10,343,422",""
"2009","Czechia","Total","Total","10,425,783",""
"2010","Czechia","Total","Total","10,462,088",""
"2011","Czechia","Total","Total","10,486,731",""
"2012","Czechia","Total","Total","10,505,445",""
"2013","Czechia","Total","Total","10,516,125",""
"2014","Czechia","Total","Total","10,512,419",""
"2015","Czechia","Total","Total","10,538,275",""
"2016","Czechia","Total","Total","10,553,843",""
"2017","Czechia","Total","Total","10,578,820",""
"2018","Czechia","Total","Total","10,610,055",""
"2019","Czechia","Total","Total","10,649,800",""
"1999","Praha","Total","Total",":",""
"2000","Praha","Total","Total","2,298,209",""
"2001","Praha","Total","Total","2,292,067",""
"2002","Praha","Total","Total","2,281,771",""
"2003","Praha","Total","Total","2,286,046",""
"2004","Praha","Total","Total","2,294,428",""
"2005","Praha","Total","Total","2,305,259",""
"2006","Praha","Total","Total","2,327,773",""
"2007","Praha","Total","Total","2,348,897",""
"2008","Praha","Total","Total","2,397,045",""
"2009","Praha","Total","Total","2,444,705",""
"2010","Praha","Total","Total","2,475,262",""
"2011","Praha","Total","Total","2,499,023",""
"2012","Praha","Total","Total","2,521,009",""
"2013","Praha","Total","Total","2,538,596",""
"2014","Praha","Total","Total","2,545,537",""
"2015","Praha","Total","Total","2,574,378",""
"2016","Praha","Total","Total","2,594,325",""
"2017","Praha","Total","Total","2,619,490",""
"2018","Praha","Total","Total","2,647,308",""
"2019","Praha","Total","Total","2,677,964",""
"1999","Brno","Total","Total",":",""
"2000","Brno","Total","Total",":",""
"2001","Brno","Total","Total","1,135,045",""
"2002","Brno","Total","Total","1,132,200",""
"2003","Brno","Total","Total","1,130,156",""
"2004","Brno","Total","Total","1,131,603",""
"2005","Brno","Total","Total","1,132,975",""
"2006","Brno","Total","Total","1,133,821",""
"2007","Brno","Total","Total","1,136,827",""
"2008","Brno","Total","Total","1,145,726",""
"2009","Brno","Total","Total","1,153,392",""
"2010","Brno","Total","Total","1,159,205",""
"2011","Brno","Total","Total","1,163,627",""
"2012","Brno","Total","Total","1,166,313",""
"2013","Brno","Total","Total","1,168,650",""
"2014","Brno","Total","Total","1,170,078",""
"2015","Brno","Total","Total","1,172,853",""
"2016","Brno","Total","Total","1,175,025",""
"2017","Brno","Total","Total","1,178,812",""
"2018","Brno","Total","Total","1,183,207",""
"2019","Brno","Total","Total","1,187,667",""
"1999","Ostrava","Total","Total",":",""
"2000","Ostrava","Total","Total","1,281,410",""
"2001","Ostrava","Total","Total","1,265,283",""
"2002","Ostrava","Total","Total","1,260,534",""
"2003","Ostrava","Total","Total","1,256,298",""
"2004","Ostrava","Total","Total","1,252,953",""
"2005","Ostrava","Total","Total","1,249,280",""
"2006","Ostrava","Total","Total","1,245,765",""
"2007","Ostrava","Total","Total","1,243,309",""
"2008","Ostrava","Total","Total","1,243,044",""
"2009","Ostrava","Total","Total","1,242,634",""
"2010","Ostrava","Total","Total","1,239,176",""
"2011","Ostrava","Total","Total","1,234,705",""
"2012","Ostrava","Total","Total","1,230,613",""
"2013","Ostrava","Total","Total","1,226,602",""
"2014","Ostrava","Total","Total","1,221,832",""
"2015","Ostrava","Total","Total","1,217,676",""
"2016","Ostrava","Total","Total","1,213,311",""
"2017","Ostrava","Total","Total","1,209,879",""
"2018","Ostrava","Total","Total","1,205,886",""
"2019","Ostrava","Total","Total","1,203,299",""
"1999","Plzen","Total","Total",":",""
"2000","Plzen","Total","Total",":",""
"2001","Plzen","Total","Total","550,804",""
"2002","Plzen","Total","Total","549,492",""
"2003","Plzen","Total","Total","549,143",""
"2004","Plzen","Total","Total","549,769",""
"2005","Plzen","Total","Total","549,155",""
"2006","Plzen","Total","Total","550,931",""
"2007","Plzen","Total","Total","553,820",""
"2008","Plzen","Total","Total","560,286",""
"2009","Plzen","Total","Total","568,798",""
"2010","Plzen","Total","Total","571,020",""
"2011","Plzen","Total","Total","571,256",""
"2012","Plzen","Total","Total","571,709",""
"2013","Plzen","Total","Total","572,687",""
"2014","Plzen","Total","Total","573,469",""
"2015","Plzen","Total","Total","575,123",""
"2016","Plzen","Total","Total","576,616",""
"2017","Plzen","Total","Total","578,629",""
"2018","Plzen","Total","Total","580,816",""
"2019","Plzen","Total","Total","584,672",""
"1999","Non-metropolitan regions in Czech Republic","Total","Total",":",""
"2000","Non-metropolitan regions in Czech Republic","Total","Total",":",""
"2001","Non-metropolitan regions in Czech Republic","Total","Total","4,988,828",""
"2002","Non-metropolitan regions in Czech Republic","Total","Total","4,977,185",""
"2003","Non-metropolitan regions in Czech Republic","Total","Total","4,971,006",""
"2004","Non-metropolitan regions in Czech Republic","Total","Total","4,966,594",""
"2005","Non-metropolitan regions in Czech Republic","Total","Total","4,962,186",""
"2006","Non-metropolitan regions in Czech Republic","Total","Total","4,965,287",""
"2007","Non-metropolitan regions in Czech Republic","Total","Total","4,971,380",""
"2008","Non-metropolitan regions in Czech Republic","Total","Total","4,997,321",""
"2009","Non-metropolitan regions in Czech Republic","Total","Total","5,016,254",""
"2010","Non-metropolitan regions in Czech Republic","Total","Total","5,017,425",""
"2011","Non-metropolitan regions in Czech Republic","Total","Total","5,018,120",""
"2012","Non-metropolitan regions in Czech Republic","Total","Total","5,015,801",""
"2013","Non-metropolitan regions in Czech Republic","Total","Total","5,009,590",""
"2014","Non-metropolitan regions in Czech Republic","Total","Total","5,001,503",""
"2015","Non-metropolitan regions in Czech Republic","Total","Total","4,998,245",""
"2016","Non-metropolitan regions in Czech Republic","Total","Total","4,994,566",""
"2017","Non-metropolitan regions in Czech Republic","Total","Total","4,992,010",""
"2018","Non-metropolitan regions in Czech Republic","Total","Total","4,992,838",""
"2019","Non-metropolitan regions in Czech Republic","Total","Total","4,996,198",""
"1999","Denmark","Total","Total","5,313,577",""
"2000","Denmark","Total","Total","5,330,020",""
"2001","Denmark","Total","Total","5,349,212",""
"2002","Denmark","Total","Total","5,368,354",""
"2003","Denmark","Total","Total","5,383,507",""
"2004","Denmark","Total","Total","5,397,640",""
"2005","Denmark","Total","Total","5,411,405",""
"2006","Denmark","Total","Total","5,427,459",""
"2007","Denmark","Total","Total","5,447,084",""
"2008","Denmark","Total","Total","5,475,791",""
"2009","Denmark","Total","Total","5,511,451",""
"2010","Denmark","Total","Total","5,534,738",""
"2011","Denmark","Total","Total","5,560,628",""
"2012","Denmark","Total","Total","5,580,516",""
"2013","Denmark","Total","Total","5,602,628",""
"2014","Denmark","Total","Total","5,627,235",""
"2015","Denmark","Total","Total","5,659,715",""
"2016","Denmark","Total","Total","5,707,251",""
"2017","Denmark","Total","Total","5,748,769",""
"2018","Denmark","Total","Total","5,781,190",""
"2019","Denmark","Total","Total","5,806,081",""
"1999","København","Total","Total",":",""
"2000","København","Total","Total",":",""
"2001","København","Total","Total",":",""
"2002","København","Total","Total",":",""
"2003","København","Total","Total",":",""
"2004","København","Total","Total",":",""
"2005","København","Total","Total",":",""
"2006","København","Total","Total",":",""
"2007","København","Total","Total","1,825,814",""
"2008","København","Total","Total","1,835,371",""
"2009","København","Total","Total","1,853,231",""
"2010","København","Total","Total","1,872,590",""
"2011","København","Total","Total","1,893,010",""
"2012","København","Total","Total","1,909,612",""
"2013","København","Total","Total","1,928,612",""
"2014","København","Total","Total","1,948,116",""
"2015","København","Total","Total","1,970,076",""
"2016","København","Total","Total","1,994,025",""
"2017","København","Total","Total","2,014,225",""
"2018","København","Total","Total","2,030,718",""
"2019","København","Total","Total","2,045,259",""
"1999","Århus","Total","Total",":",""
"2000","Århus","Total","Total",":",""
"2001","Århus","Total","Total",":",""
"2002","Århus","Total","Total",":",""
"2003","Århus","Total","Total",":",""
"2004","Århus","Total","Total",":",""
"2005","Århus","Total","Total",":",""
"2006","Århus","Total","Total",":",""
"2007","Århus","Total","Total","804,878",""
"2008","Århus","Total","Total","812,373",""
"2009","Århus","Total","Total","820,558",""
"2010","Århus","Total","Total","826,923",""
"2011","Århus","Total","Total","834,113",""
"2012","Århus","Total","Total","839,710",""
"2013","Århus","Total","Total","845,971",""
"2014","Århus","Total","Total","851,769",""
"2015","Århus","Total","Total","857,030",""
"2016","Århus","Total","Total","865,830",""
"2017","Århus","Total","Total","875,084",""
"2018","Århus","Total","Total","883,364",""
"2019","Århus","Total","Total","890,567",""
"1999","Odense","Total","Total",":",""
"2000","Odense","Total","Total",":",""
"2001","Odense","Total","Total",":",""
"2002","Odense","Total","Total",":",""
"2003","Odense","Total","Total",":",""
"2004","Odense","Total","Total",":",""
"2005","Odense","Total","Total",":",""
"2006","Odense","Total","Total",":",""
"2007","Odense","Total","Total","480,616",""
"2008","Odense","Total","Total","482,410",""
"2009","Odense","Total","Total","484,346",""
"2010","Odense","Total","Total","484,862",""
"2011","Odense","Total","Total","484,969",""
"2012","Odense","Total","Total","485,190",""
"2013","Odense","Total","Total","485,672",""
"2014","Odense","Total","Total","486,709",""
"2015","Odense","Total","Total","488,578",""
"2016","Odense","Total","Total","491,474",""
"2017","Odense","Total","Total","494,049",""
"2018","Odense","Total","Total","496,243",""
"2019","Odense","Total","Total","498,481",""
"1999","Aalborg","Total","Total",":",""
"2000","Aalborg","Total","Total",":",""
"2001","Aalborg","Total","Total",":",""
"2002","Aalborg","Total","Total",":",""
"2003","Aalborg","Total","Total",":",""
"2004","Aalborg","Total","Total",":",""
"2005","Aalborg","Total","Total",":",""
"2006","Aalborg","Total","Total",":",""
"2007","Aalborg","Total","Total","576,972",""
"2008","Aalborg","Total","Total","578,839",""
"2009","Aalborg","Total","Total","580,515",""
"2010","Aalborg","Total","Total","579,628",""
"2011","Aalborg","Total","Total","579,829",""
"2012","Aalborg","Total","Total","579,996",""
"2013","Aalborg","Total","Total","580,272",""
"2014","Aalborg","Total","Total","581,057",""
"2015","Aalborg","Total","Total","582,632",""
"2016","Aalborg","Total","Total","585,499",""
"2017","Aalborg","Total","Total","587,335",""
"2018","Aalborg","Total","Total","589,148",""
"2019","Aalborg","Total","Total","589,755",""
"1999","Non-metropolitan regions in Denmark","Total","Total",":",""
"2000","Non-metropolitan regions in Denmark","Total","Total",":",""
"2001","Non-metropolitan regions in Denmark","Total","Total",":",""
"2002","Non-metropolitan regions in Denmark","Total","Total",":",""
"2003","Non-metropolitan regions in Denmark","Total","Total",":",""
"2004","Non-metropolitan regions in Denmark","Total","Total",":",""
"2005","Non-metropolitan regions in Denmark","Total","Total",":",""
"2006","Non-metropolitan regions in Denmark","Total","Total",":",""
"2007","Non-metropolitan regions in Denmark","Total","Total","1,758,804",""
"2008","Non-metropolitan regions in Denmark","Total","Total","1,766,798",""
"2009","Non-metropolitan regions in Denmark","Total","Total","1,772,801",""
"2010","Non-metropolitan regions in Denmark","Total","Total","1,770,735",""
"2011","Non-metropolitan regions in Denmark","Total","Total","1,768,707",""
"2012","Non-metropolitan regions in Denmark","Total","Total","1,766,008",""
"2013","Non-metropolitan regions in Denmark","Total","Total","1,762,101",""
"2014","Non-metropolitan regions in Denmark","Total","Total","1,759,584",""
"2015","Non-metropolitan regions in Denmark","Total","Total","1,761,399",""
"2016","Non-metropolitan regions in Denmark","Total","Total","1,770,423",""
"2017","Non-metropolitan regions in Denmark","Total","Total","1,778,076",""
"2018","Non-metropolitan regions in Denmark","Total","Total","1,781,717",""
"2019","Non-metropolitan regions in Denmark","Total","Total","1,782,019",""
"1999","Germany (until 1990 former territory of the FRG)","Total","Total","82,037,011",""
"2000","Germany (until 1990 former territory of the FRG)","Total","Total","82,163,475",""
"2001","Germany (until 1990 former territory of the FRG)","Total","Total","82,259,540",""
"2002","Germany (until 1990 former territory of the FRG)","Total","Total","82,440,309",""
"2003","Germany (until 1990 former territory of the FRG)","Total","Total","82,536,680",""
"2004","Germany (until 1990 former territory of the FRG)","Total","Total","82,531,671",""
"2005","Germany (until 1990 former territory of the FRG)","Total","Total","82,500,849",""
"2006","Germany (until 1990 former territory of the FRG)","Total","Total","82,437,995",""
"2007","Germany (until 1990 former territory of the FRG)","Total","Total","82,314,906",""
"2008","Germany (until 1990 former territory of the FRG)","Total","Total","82,217,837",""
"2009","Germany (until 1990 former territory of the FRG)","Total","Total","82,002,356",""
"2010","Germany (until 1990 former territory of the FRG)","Total","Total","81,802,257",""
"2011","Germany (until 1990 former territory of the FRG)","Total","Total","80,222,065","b"
"2012","Germany (until 1990 former territory of the FRG)","Total","Total","80,327,900",""
"2013","Germany (until 1990 former territory of the FRG)","Total","Total","80,523,746",""
"2014","Germany (until 1990 former territory of the FRG)","Total","Total","80,767,463",""
"2015","Germany (until 1990 former territory of the FRG)","Total","Total","81,197,537",""
"2016","Germany (until 1990 former territory of the FRG)","Total","Total","82,175,684",""
"2017","Germany (until 1990 former territory of the FRG)","Total","Total","82,521,653",""
"2018","Germany (until 1990 former territory of the FRG)","Total","Total","82,792,351",""
"2019","Germany (until 1990 former territory of the FRG)","Total","Total","83,019,213",""
"1999","Berlin","Total","Total",":",""
"2000","Berlin","Total","Total","4,921,641",""
"2001","Berlin","Total","Total","4,934,636",""
"2002","Berlin","Total","Total","4,951,343",""
"2003","Berlin","Total","Total","4,961,910",""
"2004","Berlin","Total","Total","4,965,235",""
"2005","Berlin","Total","Total","4,971,331",""
"2006","Berlin","Total","Total","4,984,834",""
"2007","Berlin","Total","Total","4,996,272",""
"2008","Berlin","Total","Total","5,010,185",""
"2009","Berlin","Total","Total","5,025,272",""
"2010","Berlin","Total","Total","5,036,223",""
"2011","Berlin","Total","Total","4,849,278","b"
"2012","Berlin","Total","Total","4,898,150",""
"2013","Berlin","Total","Total","4,951,687",""
"2014","Berlin","Total","Total","5,005,216",""
"2015","Berlin","Total","Total","5,066,361",""
"2016","Berlin","Total","Total","5,143,049",""
"2017","Berlin","Total","Total","5,207,915",""
"2018","Berlin","Total","Total","5,259,363",""
"2019","Berlin","Total","Total","5,303,846",""
"1999","Hamburg","Total","Total",":",""
"2000","Hamburg","Total","Total","3,056,199",""
"2001","Hamburg","Total","Total","3,079,032",""
"2002","Hamburg","Total","Total","3,102,767",""
