"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2016","Gent","Thousand persons","Employed persons","Total - all NACE activities","308.9",""
"2017","Gent","Thousand persons","Employed persons","Total - all NACE activities","316.7",""
"2018","Gent","Thousand persons","Employed persons","Total - all NACE activities","323.3",""
"1999","Charleroi","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","140","u"
"2001","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","140","u"
"2002","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","140","u"
"2003","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","139.4",""
"2004","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","140.6",""
"2005","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","144.3",""
"2006","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","144.9",""
"2007","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","147",""
"2008","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","150.6",""
"2009","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","149.7",""
"2010","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","150",""
"2011","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","151",""
"2012","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","151",""
"2013","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","148.1",""
"2014","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","146.2",""
"2015","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","146.6",""
"2016","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","147",""
"2017","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","147.6",""
"2018","Charleroi","Thousand persons","Employed persons","Total - all NACE activities","148.1",""
"1999","Liège","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Liège","Thousand persons","Employed persons","Total - all NACE activities","230","u"
"2001","Liège","Thousand persons","Employed persons","Total - all NACE activities","229","u"
"2002","Liège","Thousand persons","Employed persons","Total - all NACE activities","230","u"
"2003","Liège","Thousand persons","Employed persons","Total - all NACE activities","227.8",""
"2004","Liège","Thousand persons","Employed persons","Total - all NACE activities","233.3",""
"2005","Liège","Thousand persons","Employed persons","Total - all NACE activities","235.8",""
"2006","Liège","Thousand persons","Employed persons","Total - all NACE activities","237.8",""
"2007","Liège","Thousand persons","Employed persons","Total - all NACE activities","240",""
"2008","Liège","Thousand persons","Employed persons","Total - all NACE activities","244.7",""
"2009","Liège","Thousand persons","Employed persons","Total - all NACE activities","244.6",""
"2010","Liège","Thousand persons","Employed persons","Total - all NACE activities","247.3",""
"2011","Liège","Thousand persons","Employed persons","Total - all NACE activities","249",""
"2012","Liège","Thousand persons","Employed persons","Total - all NACE activities","249.2",""
"2013","Liège","Thousand persons","Employed persons","Total - all NACE activities","247.9",""
"2014","Liège","Thousand persons","Employed persons","Total - all NACE activities","248.4",""
"2015","Liège","Thousand persons","Employed persons","Total - all NACE activities","250.3",""
"2016","Liège","Thousand persons","Employed persons","Total - all NACE activities","253.2",""
"2017","Liège","Thousand persons","Employed persons","Total - all NACE activities","258.4",""
"2018","Liège","Thousand persons","Employed persons","Total - all NACE activities","261.6",""
"1999","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","1,987","u"
"2001","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,014","u"
"2002","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,013","u"
"2003","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,013.6",""
"2004","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,034.4",""
"2005","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,061.8",""
"2006","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,095.8",""
"2007","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,127.6",""
"2008","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,161.5",""
"2009","Non-metropolitan regions in Belgium","Thousand persons","Employed persons","Total - all NACE activities","2,167.9",""
