"TIME","METROREG","UNIT","WSTATUS","NACE_R2","Value","Flag and Footnotes"
"2012","Flensburg","Thousand persons","Employed persons","Total - all NACE activities","136","e"
"2013","Flensburg","Thousand persons","Employed persons","Total - all NACE activities","138","e"
"2014","Flensburg","Thousand persons","Employed persons","Total - all NACE activities","139","e"
"2015","Flensburg","Thousand persons","Employed persons","Total - all NACE activities","142","e"
"2016","Flensburg","Thousand persons","Employed persons","Total - all NACE activities","143","e"
"2017","Flensburg","Thousand persons","Employed persons","Total - all NACE activities","144","e"
"2018","Flensburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Konstanz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","127","e"
"2001","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2002","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2003","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2004","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2005","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2006","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","131","e"
"2007","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","132","e"
"2008","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","133","e"
"2009","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","133","e"
"2010","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","132","e"
"2011","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","134","e"
"2012","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","137","e"
"2013","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","139","e"
"2014","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","143","e"
"2015","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2016","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","147","e"
"2017","Konstanz","Thousand persons","Employed persons","Total - all NACE activities","147","e"
"2018","Konstanz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Gießen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Gießen","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2001","Gießen","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2002","Gießen","Thousand persons","Employed persons","Total - all NACE activities","127","e"
"2003","Gießen","Thousand persons","Employed persons","Total - all NACE activities","124","e"
"2004","Gießen","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2005","Gießen","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2006","Gießen","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2007","Gießen","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2008","Gießen","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2009","Gießen","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2010","Gießen","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2011","Gießen","Thousand persons","Employed persons","Total - all NACE activities","131","e"
"2012","Gießen","Thousand persons","Employed persons","Total - all NACE activities","132","e"
"2013","Gießen","Thousand persons","Employed persons","Total - all NACE activities","132","e"
"2014","Gießen","Thousand persons","Employed persons","Total - all NACE activities","133","e"
"2015","Gießen","Thousand persons","Employed persons","Total - all NACE activities","135","e"
"2016","Gießen","Thousand persons","Employed persons","Total - all NACE activities","137","e"
"2017","Gießen","Thousand persons","Employed persons","Total - all NACE activities","139","e"
"2018","Gießen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","135","e"
"2001","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","134","e"
"2002","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","133","e"
"2003","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2004","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2005","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","128","e"
"2006","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2007","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","131","e"
"2008","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","132","e"
"2009","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","131","e"
"2010","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","132","e"
"2011","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","135","e"
"2012","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","135","e"
"2013","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","136","e"
"2014","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","136","e"
"2015","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","137","e"
"2016","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","138","e"
"2017","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities","139","e"
"2018","Bayreuth","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","180","e"
"2001","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","180","e"
"2002","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","180","e"
"2003","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","174","e"
"2004","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","175","e"
"2005","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","177","e"
"2006","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","180","e"
"2007","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","184","e"
"2008","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","187","e"
"2009","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","188","e"
"2010","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","187","e"
"2011","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","190","e"
"2012","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","193","e"
"2013","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","192","e"
"2014","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","190","e"
"2015","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","190","e"
"2016","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","192","e"
"2017","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities","194","e"
"2018","Aschaffenburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","140","e"
"2001","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","136","e"
"2002","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","133","e"
"2003","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","130","e"
"2004","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2005","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2006","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2007","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","130","e"
"2008","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2009","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","130","e"
"2010","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","129","e"
"2011","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2012","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","124","e"
"2013","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","122","e"
"2014","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","122","e"
"2015","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","121","e"
"2016","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","120","e"
"2017","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities","122","e"
"2018","Neubrandenburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","144","e"
"2001","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2002","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","151","e"
"2003","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","142","e"
"2004","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","144","e"
"2005","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2006","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","147","e"
"2007","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","149","e"
"2008","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","151","e"
"2009","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","151","e"
"2010","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","153","e"
"2011","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","156","e"
"2012","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","158","e"
"2013","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","160","e"
"2014","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","163","e"
"2015","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","166","e"
"2016","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","169","e"
"2017","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities","171","e"
"2018","Rosenheim","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Offenburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","218","e"
"2001","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","221","e"
"2002","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","221","e"
"2003","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","219","e"
"2004","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","219","e"
"2005","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","217","e"
"2006","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","218","e"
"2007","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","222","e"
"2008","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","228","e"
"2009","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","226","e"
"2010","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","227","e"
"2011","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","230","e"
"2012","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","233","e"
"2013","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","235","e"
"2014","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","238","e"
"2015","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","240","e"
"2016","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","242","e"
"2017","Offenburg","Thousand persons","Employed persons","Total - all NACE activities","247","e"
"2018","Offenburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Görlitz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2001","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","120","e"
"2002","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","116","e"
"2003","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2004","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2005","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2006","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2007","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2008","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2009","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2010","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2011","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2012","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2013","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2014","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2015","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","113","e"
"2016","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","114","e"
"2017","Görlitz","Thousand persons","Employed persons","Total - all NACE activities","115","e"
"2018","Görlitz","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2001","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2002","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","144","e"
"2003","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2004","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2005","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","145","e"
"2006","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","146","e"
"2007","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","150","e"
"2008","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","150","e"
"2009","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","147","e"
"2010","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","150","e"
"2011","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","150","e"
"2012","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","151","e"
"2013","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","153","e"
"2014","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","153","e"
"2015","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","154","e"
"2016","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","156","e"
"2017","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities","157","e"
"2018","Schweinfurt","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","119","e"
"2001","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","120","e"
"2002","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","120","e"
"2003","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","118","e"
"2004","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","119","e"
"2005","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","119","e"
"2006","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","120","e"
"2007","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","122","e"
"2008","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2009","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","123","e"
"2010","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","122","e"
"2011","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","124","e"
"2012","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2013","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2014","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","125","e"
"2015","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2016","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","126","e"
"2017","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities","127","e"
"2018","Wetzlar","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","470","e"
"2001","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","469","e"
"2002","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","463","e"
"2003","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","470","e"
"2004","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","474","e"
"2005","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","470","e"
"2006","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","469","e"
"2007","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","473","e"
"2008","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","478","e"
"2009","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","483","e"
"2010","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","482","e"
"2011","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","493","e"
"2012","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","507","e"
"2013","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","510","e"
"2014","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","514","e"
"2015","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","518","e"
"2016","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","522","e"
"2017","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities","528","e"
"2018","Braunschweig-Salzgitter-Wolfsburg","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","595","e"
"2001","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","594","e"
"2002","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","594","e"
"2003","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","591","e"
"2004","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","594","e"
"2005","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","592","e"
"2006","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","593","e"
"2007","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","604","e"
"2008","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","611","e"
"2009","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","613","e"
"2010","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","615","e"
"2011","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","624","e"
"2012","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","633","e"
"2013","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","639","e"
"2014","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","648","e"
"2015","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","654","e"
"2016","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","660","e"
"2017","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities","663","e"
"2018","Mannheim-Ludwigshafen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Münster","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Münster","Thousand persons","Employed persons","Total - all NACE activities","272","e"
"2001","Münster","Thousand persons","Employed persons","Total - all NACE activities","272","e"
"2002","Münster","Thousand persons","Employed persons","Total - all NACE activities","275","e"
"2003","Münster","Thousand persons","Employed persons","Total - all NACE activities","271","e"
"2004","Münster","Thousand persons","Employed persons","Total - all NACE activities","277","e"
"2005","Münster","Thousand persons","Employed persons","Total - all NACE activities","276","e"
"2006","Münster","Thousand persons","Employed persons","Total - all NACE activities","279","e"
"2007","Münster","Thousand persons","Employed persons","Total - all NACE activities","285","e"
"2008","Münster","Thousand persons","Employed persons","Total - all NACE activities","288","e"
"2009","Münster","Thousand persons","Employed persons","Total - all NACE activities","290","e"
"2010","Münster","Thousand persons","Employed persons","Total - all NACE activities","293","e"
"2011","Münster","Thousand persons","Employed persons","Total - all NACE activities","299","e"
"2012","Münster","Thousand persons","Employed persons","Total - all NACE activities","304","e"
"2013","Münster","Thousand persons","Employed persons","Total - all NACE activities","307","e"
"2014","Münster","Thousand persons","Employed persons","Total - all NACE activities","313","e"
"2015","Münster","Thousand persons","Employed persons","Total - all NACE activities","318","e"
"2016","Münster","Thousand persons","Employed persons","Total - all NACE activities","322","e"
"2017","Münster","Thousand persons","Employed persons","Total - all NACE activities","326","e"
"2018","Münster","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Aachen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Aachen","Thousand persons","Employed persons","Total - all NACE activities","274","e"
"2001","Aachen","Thousand persons","Employed persons","Total - all NACE activities","275","e"
"2002","Aachen","Thousand persons","Employed persons","Total - all NACE activities","275","e"
"2003","Aachen","Thousand persons","Employed persons","Total - all NACE activities","273","e"
"2004","Aachen","Thousand persons","Employed persons","Total - all NACE activities","274","e"
"2005","Aachen","Thousand persons","Employed persons","Total - all NACE activities","271","e"
"2006","Aachen","Thousand persons","Employed persons","Total - all NACE activities","271","e"
"2007","Aachen","Thousand persons","Employed persons","Total - all NACE activities","274","e"
"2008","Aachen","Thousand persons","Employed persons","Total - all NACE activities","280","e"
"2009","Aachen","Thousand persons","Employed persons","Total - all NACE activities","277","e"
"2010","Aachen","Thousand persons","Employed persons","Total - all NACE activities","281","e"
"2011","Aachen","Thousand persons","Employed persons","Total - all NACE activities","285","e"
"2012","Aachen","Thousand persons","Employed persons","Total - all NACE activities","288","e"
"2013","Aachen","Thousand persons","Employed persons","Total - all NACE activities","290","e"
"2014","Aachen","Thousand persons","Employed persons","Total - all NACE activities","294","e"
"2015","Aachen","Thousand persons","Employed persons","Total - all NACE activities","297","e"
"2016","Aachen","Thousand persons","Employed persons","Total - all NACE activities","302","e"
"2017","Aachen","Thousand persons","Employed persons","Total - all NACE activities","306","e"
"2018","Aachen","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Lübeck","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","203","e"
"2001","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","202","e"
"2002","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","201","e"
"2003","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","198","e"
"2004","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","197","e"
"2005","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","195","e"
"2006","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","198","e"
"2007","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","201","e"
"2008","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","205","e"
"2009","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","205","e"
"2010","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","207","e"
"2011","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","210","e"
"2012","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","212","e"
"2013","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","211","e"
"2014","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","211","e"
"2015","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","213","e"
"2016","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","217","e"
"2017","Lübeck","Thousand persons","Employed persons","Total - all NACE activities","220","e"
"2018","Lübeck","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Kassel","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Kassel","Thousand persons","Employed persons","Total - all NACE activities","232","e"
"2001","Kassel","Thousand persons","Employed persons","Total - all NACE activities","230","e"
"2002","Kassel","Thousand persons","Employed persons","Total - all NACE activities","230","e"
"2003","Kassel","Thousand persons","Employed persons","Total - all NACE activities","228","e"
"2004","Kassel","Thousand persons","Employed persons","Total - all NACE activities","228","e"
"2005","Kassel","Thousand persons","Employed persons","Total - all NACE activities","226","e"
"2006","Kassel","Thousand persons","Employed persons","Total - all NACE activities","228","e"
"2007","Kassel","Thousand persons","Employed persons","Total - all NACE activities","231","e"
"2008","Kassel","Thousand persons","Employed persons","Total - all NACE activities","234","e"
"2009","Kassel","Thousand persons","Employed persons","Total - all NACE activities","235","e"
"2010","Kassel","Thousand persons","Employed persons","Total - all NACE activities","238","e"
"2011","Kassel","Thousand persons","Employed persons","Total - all NACE activities","241","e"
"2012","Kassel","Thousand persons","Employed persons","Total - all NACE activities","244","e"
"2013","Kassel","Thousand persons","Employed persons","Total - all NACE activities","244","e"
"2014","Kassel","Thousand persons","Employed persons","Total - all NACE activities","247","e"
"2015","Kassel","Thousand persons","Employed persons","Total - all NACE activities","247","e"
"2016","Kassel","Thousand persons","Employed persons","Total - all NACE activities","249","e"
"2017","Kassel","Thousand persons","Employed persons","Total - all NACE activities","253","e"
"2018","Kassel","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","258","e"
"2001","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","258","e"
"2002","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","255","e"
"2003","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","256","e"
"2004","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","257","e"
"2005","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","256","e"
"2006","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","259","e"
"2007","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","265","e"
"2008","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","269","e"
"2009","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","267","e"
"2010","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","271","e"
"2011","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","277","e"
"2012","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","282","e"
"2013","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","285","e"
"2014","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","288","e"
"2015","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","292","e"
"2016","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","296","e"
"2017","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities","300","e"
"2018","Osnabrück","Thousand persons","Employed persons","Total - all NACE activities",":",""
"1999","Oldenburg (Oldenburg)","Thousand persons","Employed persons","Total - all NACE activities",":",""
"2000","Oldenburg (Oldenburg)","Thousand persons","Employed persons","Total - all NACE activities","190","e"
"2001","Oldenburg (Oldenburg)","Thousand persons","Employed persons","Total - all NACE activities","190","e"
